param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
600,8,0.8,0.6,-7645.451614841819,5521.227003563671,519730.4791666667,627169908053333.4,18815432.595300857,39,14.743677934010824,0.07159239909862074
600,4,0.5,0.5,-7765.244247277577,6335.343368854655,594975.3229166666,627659330901333.4,18791305.40955021,40,4.581126928329468,0.008801139059955776
1000,4,0.8,0.6,-7878.782488942146,5886.057384372489,579920.34375,628205831236266.6,18872503.892686665,41,8.025260925292969,0.020353990783201336
1000,8,0.6,0.5,-7880.544262210528,6295.821420767108,642511.4375,628159604413781.4,18837986.085912764,42,22.792566935221355,0.19705693138126248
300,6,0.6,0.8,-7961.930810411771,5634.442378412322,462167.0,628548024926208.0,18920756.39969224,43,4.876948356628418,0.01895201290551052
300,8,0.6,0.8,-8022.392630934715,5677.329402384173,461136.3541666667,628816767964501.4,18939167.00888531,44,8.233080784479776,0.07395472814922682
600,6,0.5,0.5,-8052.870452667276,6357.973462728899,615668.9270833334,628943052865536.0,18896584.803991653,45,8.33832828203837,0.04720995802474229
1000,6,0.8,0.6,-8074.349739968777,5950.221108816212,556919.2083333334,629075450265600.0,18938079.550604958,46,14.367236773173014,0.07967042880267769
600,8,0.5,0.5,-8098.287142420809,6391.026221533972,622682.25,629145167986688.0,18910443.772011206,47,13.538482348124186,0.14258897755689134
600,4,0.6,0.6,-8383.304677948356,5929.2519594829355,565889.34375,630424208408576.0,19047888.824443486,48,4.717521031697591,0.008687916602508545
1000,8,0.8,0.6,-8446.923036868373,6157.264320380202,560380.78125,630731945891157.4,19054238.545270395,49,24.355658531188965,0.1481291411723954
600,6,0.6,0.6,-8777.05545090139,6209.228750267052,587054.9375,632179728755370.6,19163646.345595792,50,8.50253431002299,0.07351868457670109
1000,4,0.5,0.5,-8910.351665258408,6700.15681322305,704479.6666666666,632741787860992.0,19173299.573847916,51,7.85047189394633,0.02294172917944973
600,8,0.6,0.6,-9209.478789567947,6512.909614181325,607153.7708333334,634101925150720.0,19287921.448853526,52,14.283099889755249,0.11747140880432148
